Accession	H3K4	H3K36	H2AK7	H2AZK14	H2BK11	H2BK16	H3Nterm	H3K9	H3K14	H3K18	H3K23	H3K27	H3K56	H4Nterm	H4K8	H4K12	H4K16	H2A	H2B	H3	H4	H2AZ
YKL064W 	0.6547806800	-0.461018652		0.1178894120			0.6575716250						-0.085206831	0.7727710520				0.0117740020	0.0807008450	-0.127532330	-0.016403824	0.5698451390
YKL065C 	0.6547806800	-0.461018652		0.1178894120			0.6575716250						-0.085206831	0.7727710520				0.0117740020	0.0807008450	-0.127532330	-0.016403824	0.5698451390
YKL066W 		0.1326003950		-0.079629719															0.0403239660	0.1366343370	0.1257104620	0.8222107340
YKL067W 		0.1326003950		-0.079629719															0.0403239660	0.1366343370	0.1257104620	0.8222107340
YKL068W 		0.2850670620																	0.2092543450			
YKL069W 	0.1657070610	0.1319337290					-0.013281569						0.3700258030	0.3154367240				0.1443821280	0.1167772320	-0.018282330	0.0703104620	0.1087900230
YKL070W 	0.1397385510	1.0431003950	0.0767141920	-0.833199303	0.0645081480	0.0398247970	-0.278737456	-0.124769734	-0.481543268	-0.550457772	-0.191223380	-0.440436976	0.1838559590	-0.463618598	0.0647642960	-0.190165278	0.2183900110	0.7559499100	0.1348782690	0.5227176700	0.2820247480	-2.002823578
YKL071W 		0.5828384910	-0.282895023	-0.961827120	-0.022359961	-0.170066163		-0.334420752	-0.302008080	-0.624581487	-0.214036385	-0.049864613	0.2128066350		0.1772728250	-0.001728543	0.1637901350	0.2168184570	0.1320639420			-1.293410111
YKL072W 	0.0676037980		-0.193087247	-0.308868840	-0.404286718	-0.497279656	-0.384054194	-0.553586775	-0.291977858	-0.762305605	-0.648337787	-0.763052212	0.5114463170	-0.172194200	-0.259190151	-0.467381785	-0.452779177	0.1725398770	-0.019018415	-0.069532330	-0.083689538	0.9396521890
YKL073W 	0.3157473460	0.3726420620		0.2467362280			-0.082530931						0.0339655050	0.1004751630				0.2727988200	0.0995096540	0.0467176700	0.1743104620	
YKL074C 	0.3157473460	0.3726420620		0.2467362280			-0.082530931						0.0339655050	0.1004751630				0.2727988200	0.0995096540	0.0467176700	0.1743104620	
YKL075C 	-0.229591380	0.1959813480	0.0240495660	-0.183334560	-0.252278117	-0.438793244	-0.195061144	-0.044270996	0.0038678560	-0.328254358	-0.259045474	-0.336876424	-0.133702511	-0.010612355	-0.191418742	-0.087888014	-0.055602220	0.5890317210	0.0221446580	0.1613010040	0.2134533190	1.0778982850
YKL076C 	-0.229591380	0.1959813480	0.0240495660	-0.183334560	-0.252278117	-0.438793244	-0.195061144	-0.044270996	0.0038678560	-0.328254358	-0.259045474	-0.336876424	-0.133702511	-0.010612355	-0.191418742	-0.087888014	-0.055602220	0.5890317210	0.0221446580	0.1613010040	0.2134533190	1.0778982850
YKL077W 	-0.147357763	0.4803503950		0.1443827590			0.6546862350						0.8113886020	0.2144480710				0.6611797800	0.0461654510	0.1852176700	0.0838818900	0.9815178110
YKL078W 	0.0329791170	0.5502670620		-0.236911571			-1.079433204						0.1289044490	-0.913739451					0.0498206680	0.1532176700	0.0864533190	0.6823725950
YKL079W 	-0.193524004	0.6774337290		-0.183955462			0.0400981480						0.1110108890	0.1740526100					-0.009065660	0.5947176700	0.1884533190	
YKL080W 	-0.013187124	0.3865170620		-0.957575993			-0.169092633						-0.127985549	-0.323677179				-0.421832964	-0.301158069	-0.059032330	-0.122832395	-0.085968021
YKL081W 	-0.206508259	-0.051875795	0.2562105450	0.8097852380	0.2339368930	0.1204948820	0.4224123340	0.3290901620	0.1752414790	0.9061743090	0.1990280740	0.4303857310	0.1025059810	0.5174140290	-0.574560230	-0.055662113	-0.340206880	0.0268373950	-0.127081141	-0.213032330	-0.029689538	-0.401044094
YKL082C 	-0.206508259	-0.051875795	0.2562105450	0.8097852380	0.2339368930	0.1204948820	0.4224123340	0.3290901620	0.1752414790	0.9061743090	0.1990280740	0.4303857310	0.1025059810	0.5174140290	-0.574560230	-0.055662113	-0.340206880	0.0268373950	-0.127081141	-0.213032330	-0.029689538	-0.401044094
YKL083W 	0.4672303250	0.2539337290	-0.446335909		-0.287415027	-0.484022494	-0.385496889	-0.479097345	-0.846911599	-0.606905908	-0.425742868	-0.473630017	-0.125438999	-0.563164556	-0.061248919	-0.459065227	-0.176220983		-0.007116132	0.1877176700	0.1118818900	
YKL084W 	0.0647184080	0.5825527760		-0.100478791			-0.108499441						-0.333994505	0.2447446670					-0.107372824	0.3519676700	0.2353104620	-1.121853821
YKL085W 	0.1325250750	0.1374337290		-0.360328949			-0.177748803							-0.355416470				0.1014986890	-0.451104236	0.0839676700	-0.035689538	0.2441185050
YKL086W 	-0.251231806	-0.577518652	-0.663894278		-0.199911299	-0.367890705	-0.099843271	0.1150455710	-0.080751062	-0.215520846	-0.360147487	-0.627889846	0.6927240220	-0.345317605	-0.301319888	-0.465572377	-0.521909944		-0.090861565	-0.204032330	-0.120522872	0.7921084770
YKL087C 	-0.251231806	-0.577518652	-0.663894278		-0.199911299	-0.367890705	-0.099843271	0.1150455710	-0.080751062	-0.215520846	-0.360147487	-0.627889846	0.6927240220	-0.345317605	-0.301319888	-0.465572377	-0.521909944		-0.090861565	-0.204032330	-0.120522872	0.7921084770
YKL088W 	0.1368531600	0.1297045620	0.3303612320	0.5794302350	0.2225309880	0.2723510480	0.0804936090	0.5285845640	0.3894852170	0.1319188270	0.2746551590	-0.155185963	0.1514762480	0.0254550210	0.2131336150	0.0379538470	0.0273311090	0.5901154170	-0.072280091	0.1152176700	0.0578818900	0.5705581850
YKL089W 	0.2609249340	0.3374337290		-0.069382089			0.2478462340						0.1041175020	0.0211269350				0.1594706150	0.0194689270	0.4542176700	0.1587104620	0.2308016000
YKL090W 	0.6230413889	-0.383399605		0.2498897860			0.5666818380							0.7006363000				0.3384510190	0.2815137530	0.1207176700	0.2045961760	-0.055784324
YKL091C 	0.6230413889	-0.383399605		0.2498897860			0.5666818380							0.7006363000				0.3384510190	0.2815137530	0.1207176700	0.2045961760	-0.055784324
YKL092C 	0.4672303250	0.2070170620	0.7069694740	0.5313352059	0.3456000170	0.3113620180	0.4310685040	0.1252469010	0.4656102050	0.1569048350	0.3768418970	0.0384380660	0.1885586010	0.4467219720	0.6696288190	0.2031686600	0.3889579040	0.3913828000	0.2338449160	0.0534676700	0.0580247480	0.9980995940
YKL093W 	-0.238247550	0.7945795620	-0.660883887	-0.936585162	-0.431054684	-0.777545873	-0.701447103	-0.767571348	-0.817383117	-1.121228420	-0.621021231	-0.602127987	-0.247410978	-0.697335195	-0.283439575	-0.461759145	-0.179500228	0.1310180530	0.0979232100	0.1642176700	0.0264771280	-0.910915904
YKL094W 	0.2032171320	0.2120670620	0.4343616940	0.2443462080	0.3298756430	0.4624600540	-0.257097031	0.0829180870	0.2156759010	-0.226758931	-0.209187918	0.0537775690	0.1412695590	-0.126027959	0.5912245120	0.3668497730	0.3638019130		0.0331793300	0.0297176700	0.0353104620	0.1341019840
YKL095W 	0.3806686220	-0.249982938		0.1653677560			-0.182076888						0.2792485570	-0.022153916					0.0531773500	-0.033532330	0.0805961760	0.3744819310
YKL096W 	-0.405600175	-0.631399605		-0.926753708			0.0776082190						0.0277257920	-0.309250229				-1.076574842	-0.583893117	-0.482032330	-0.654832395	-2.721353124
YKL096W-A 	-0.819653652	-0.643066271	-0.794918464	-0.661929580	-0.589940663	-0.678049376	-0.027708519	-0.146448716	-0.399661933	0.3232672830	-0.441787665	-0.010736308	-0.040325583	-0.055335902	-0.846587052	-0.501314010	-0.349266962	-1.051377851	-0.767350569	-0.297032330	-0.732689538	-2.428380182
YKL097C 	-0.819653652	-0.643066271	-0.794918464	-0.661929580	-0.589940663	-0.678049376	-0.027708519	-0.146448716	-0.399661933	0.3232672830	-0.441787665	-0.010736308	-0.040325583	-0.055335902	-0.846587052	-0.501314010	-0.349266962	-1.051377851	-0.767350569	-0.297032330	-0.732689538	-2.428380182
YKL098W 	0.2825653600	-0.278232938	0.0012167400	0.4119963020	0.4041038750	0.1684673760	0.0213431120	-0.099340319	-0.058104955	-0.099120361	0.0120083090	-0.149462528	0.2593650340	0.6977509100	0.1764308290	0.2653643490	-0.315433841	-0.091169750	0.0395568870	0.2777176700	0.1571676050	1.3430751660
YKL099C 	0.2825653600	-0.278232938	0.0012167400	0.4119963020	0.4041038750	0.1684673760	0.0213431120	-0.099340319	-0.058104955	-0.099120361	0.0120083090	-0.149462528	0.2593650340	0.6977509100	0.1764308290	0.2653643490	-0.315433841	-0.091169750	0.0395568870	0.2777176700	0.1571676050	1.3430751660
YKL100C 	0.4744438000	0.2256420620		0.1589696250			0.0646239640							0.1841514750				0.2495311130	0.1096398520	0.0529676700	-0.018689538	-0.186177964
YKL101W 	0.4051944380	-0.601732938	-0.158205020	-0.218245929	-0.412766172	-0.157566578	-0.078202846	0.0128995220	-0.475383849	0.4152600790	-0.199955842	0.0554868720	-0.357316250	-0.303479449	-0.399077296	-0.513294124	-0.291457023	0.1501279990	0.1536932030	0.0432176700	0.1375961760	0.8118463350
YKL102C 	0.4051944380	-0.601732938	-0.158205020	-0.218245929	-0.412766172	-0.157566578	-0.078202846	0.0128995220	-0.475383849	0.4152600790	-0.199955842	0.0554868720	-0.357316250	-0.303479449	-0.399077296	-0.513294124	-0.291457023	0.1501279990	0.1536932030	0.0432176700	0.1375961760	0.8118463350
YKL103C 	0.3590281970	-0.324232938		-0.160596423			0.1598418360						-0.005109352	0.4957736040				-0.105266306	-0.134837955	-0.114782330	-0.225118110	-0.421563759
YKL104C 	0.3734551470	0.1728920620	-0.041195480	-0.412814881	-0.237533929	-0.066449255	0.2175496380	0.0214026290	-0.092836616	0.5262805380	-0.138734767	0.1791399690	0.3029865160	-0.154881860	-0.125694767	-0.393705047	0.1342836950	-0.327561588	-0.295745627	-0.006782330	-0.116689538	-0.663285931
YKL105C 	-0.085321876	0.2864545620		-0.368107089			-0.192175754						-0.185834366	0.2043492060				0.2889646990	0.2676351700	0.2457176700	0.1453104620	0.2681193740
YKL106W 	0.3676843670	-0.091982938		0.6540632250			0.3733607020						-0.257011280	0.5866633910				0.2118772930	0.2794263360	0.3737176700	0.3907390330	
YKL107W 	0.0647184080	0.3675170620	-0.111441341	-0.201481956	-0.042557573	0.0425798280	-0.101285966	-0.054305230	0.0169433070	-0.128006014	-0.070258276	0.1694913630		-0.328005264	0.3157877530	0.0164339060	0.6568170209	0.7932060760	0.0231541130	0.2934676700	0.1698818900	-0.960353969
YKL108W 	-0.017515209	0.2092670620					-0.375398024						-1.067925105	-0.102944838					-0.123335824	0.1059676700	0.1498104620	0.1140500680
YKL109W 	-0.040598330	-0.152875795		-1.023987503			-0.182076888						-0.074677882	-0.972889947				-1.266895477	-1.101513243	-0.599532329	-0.810689538	-2.412359592
YKL110C 	-0.259887976	-0.802920438		-0.542299964			0.5450414120							0.0802774320				-0.386132074	-0.720632106	-0.459782330	-0.597546681	-1.020999012
YKL111C 	-0.036270244	0.9188384910		-0.721317825			-0.417236180						-0.108573494	-0.441978173					-0.140638224	0.4502176700	0.0839104620	
YKL112W 	-0.080993791	-0.496232938	-0.205054311	-0.398772943	-0.106391892	-0.160250142	-0.215258874	-0.486261123	-0.617482353	-0.463345900	-0.567662457	-0.484998408	-0.269162615	-0.157767250	-0.466450853	-0.415238904	-0.589682264		-0.213536216	-0.468782330	-0.129118110	-0.391296715
YKL113C 	-0.080993791	-0.496232938	-0.205054311	-0.398772943	-0.106391892	-0.160250142	-0.215258874	-0.486261123	-0.617482353	-0.463345900	-0.567662457	-0.484998408	-0.269162615	-0.157767250	-0.466450853	-0.415238904	-0.589682264		-0.213536216	-0.468782330	-0.129118110	-0.391296715
YKL114C 	0.6663222400	0.1337045620		0.9078451020			0.5623537530						0.0781304460	0.3832433910				0.2076101490	0.3062852790	0.2192176700	0.1687390330	0.3429921490
YKL115C 	-0.366647409	0.2751837290					-0.639411215						0.0770677040	-0.338104130					-0.153678660	-0.008032330	-0.025289538	-0.022840619
YKL116C 	-0.366647409	0.2751837290					-0.639411215						0.0770677040	-0.338104130					-0.153678660	-0.008032330	-0.025289538	-0.022840619
YKL117W 		-0.120832938	0.3238753180		0.1012673180	0.3958168530		-0.060483311	0.0791002930	0.2414401790	0.0618568010	0.2471952180	-0.503838076		0.0591271100	0.0858133450	0.0806748230	-0.318332149	-0.214532166			0.5603702450
YKL118W 	0.0531768480			-0.687627592			-0.138796037						-0.415426992	-0.265969378					0.1512064330			-1.223871543
YKL119C 		-0.247649605		-0.213048549									-0.545176663					-0.616982253	-0.229888501	-0.008032330	-0.177403824	-1.602873165
YKL120W 	-0.381074359	0.4985170620	-0.685077228	-0.944115116	-0.404222755	-0.429676227	-0.251326250	-0.670894524	-0.787223424	-0.674976726	-0.680163557	-0.462702889	-0.401967290	-1.014728104	-0.962779780	-0.755520500	-0.537212172	-0.283032225	-0.153604610	-0.070032330	-0.039489538	-2.109097434
YKL121W 	-0.470521452	0.2236242050					0.0516397080							0.3024524680					0.3338920780	0.0114676700	0.0371104620	
YKL122C 	-0.470521452	0.2236242050					0.0516397080							0.3024524680					0.3338920780	0.0114676700	0.0371104620	
YKL123W 	0.0171094720	0.1233295620		-0.552394689			-0.309034052						0.3392203000	0.2173334610				0.0860877060	0.0254136520	0.0127176700	-0.049118110	0.2769183300
YKL124W 	0.0171094720	0.1233295620		-0.552394689			-0.309034052						0.3392203000	0.2173334610				0.0860877060	0.0254136520	0.0127176700	-0.049118110	0.2769183300
YKL125W 	0.1310823800	0.6076956330		-0.037449202			-0.075317455						-0.009631591	-0.066877462				-0.131366556	0.1271392470	-0.001365663	0.1457104620	-0.164972043
YKL126W 	0.0257656420	0.3601420620		-0.441930302			-0.459074336						-0.570189170	0.1783806950				0.1086321240	-0.025615991	0.2322176700	0.1543104620	0.6738792689
YKL127W 		-0.254375795		0.2677212500									0.2187702190					-0.144585917	-0.153665597			-0.131239382
YKL128C 	0.3647989770	-0.157420438					0.6301604200						0.3806920610	0.8607754490				0.2058630620	0.3411932840	-0.036032330	0.2034533190	-0.171663199
YKL129C 	0.5292662120	0.2797670620		-0.172956355			0.1180036800							0.0499808360					0.2267024770	0.1964676700	0.1103104620	
YKL130C 	0.0026825220	0.1340170620		-0.149896728			0.1021340350						-0.760553025	0.4496073630					0.1938478890	0.1667176700	0.0504533190	0.4064773830
YKL131W 	-0.003088259	0.4498920620		-0.380526450			-0.094072491						-0.451553393	0.1451987090				0.4256747620	0.1524089870	0.5202176700	0.3535961760	0.4783765880
YKL132C 	1.0212252209	0.0331420620		-0.070564083			0.4036572980						0.0912171250	0.3688164400				-0.031392599	0.3587730170	0.1579676700	0.1517390330	
YKL133C 	-0.003088259	0.4498920620		-0.380526450			-0.094072491						-0.451553393	0.1451987090				0.4256747620	0.1524089870	0.5202176700	0.3535961760	0.4783765880
YKL134C 	0.2190867780			0.1014743180										-0.333776045					-0.151877361	0.3769676700	0.1987390330	-0.336446326
YKL135C 	-0.213721734	0.4887670620	0.2046866150	0.1737700440	0.1227527250	-0.047325232	0.0718374390	-0.154468878	0.1973410250	0.1353076990	0.0426080450	0.1072021260	-0.637305008	-0.124585264	-0.197389636	0.5209720230	-0.152606943	0.2815536490	0.0227096470	0.1102176700	0.0024771280	0.9305115309
YKL136W 	-0.197852089	0.3299813480		0.2598826460			0.0992486450							-0.131798739					-0.154624277	0.0087176700	0.1280604620	
YKL137W 	-0.245461025	0.0728295620	0.0614677560	-0.004237069	0.2829046970	-0.011029369	0.1122329000	-0.108297537	0.2823020480	-0.154749318	0.2656147490	-0.129173023	0.0368611520	0.1899222550	0.0298771990	0.2151052630	0.1121939330		-0.097665605			-0.035952989
YKL138C 	-0.245461025	0.0728295620	0.0614677560	-0.004237069	0.2829046970	-0.011029369	0.1122329000	-0.108297537	0.2823020480	-0.154749318	0.2656147490	-0.129173023	0.0368611520	0.1899222550	0.0298771990	0.2151052630	0.1121939330		-0.097665605			-0.035952989
YKL139W 	-0.284413791	0.6662670620	0.0240526740	-0.434568723	0.0484171760	0.0677366760	0.0675093540	0.1184127110	-0.145712305	-0.235735343	0.0028835820	0.2532274860	-0.806951806	-0.196720016	-0.056014553	0.0474112720	0.0942104820		0.0636374190	-0.018532330	-0.031856205	0.2241706600
YKL140W 	0.5970728780	0.0688384910		0.0603012230			0.2262058080							0.3572748800				0.5878501860	0.3388465580	-0.004782330	0.1197390330	0.3460424250
YKL141W 	0.3099765650	-0.037732938		0.1698426200			0.2983405600							0.2086772910				-0.016879283	0.1239591640	0.0992176700	0.0981676050	-0.120101525
YKL142W 	-0.099748826	0.1415170620		-0.334201633			-0.033479299						-0.102579817	-0.079861717				-0.111423904	-0.002308419	0.0914676700	-0.166975252	-1.015449914
YKL143W 	-0.166112798	0.1591670620	0.4139445270	0.4035021210	0.1896362580	0.1056434080	-0.303263272	-0.239609306	-0.001312208	-0.346634984	-0.129121735	0.0773311760	-0.135690277	0.0903762970	0.1174193820	0.0043849010	-0.169911040	0.0772899610	-0.155293536	0.1197176700	0.0451437950	1.0258804420
YKL144C 	-0.166112798	0.1591670620	0.4139445270	0.4035021210	0.1896362580	0.1056434080	-0.303263272	-0.239609306	-0.001312208	-0.346634984	-0.129121735	0.0773311760	-0.135690277	0.0903762970	0.1174193820	0.0043849010	-0.169911040	0.0772899610	-0.155293536	0.1197176700	0.0451437950	1.0258804420
YKL145W 	-0.701352658	0.4556242050					-0.105614051						-0.407970278	0.0846055170					-0.103191438	-0.036032330	0.0188104620	0.3985335480
YKL146W 	0.1281969900	0.1579099190	0.4219261610	0.4493049230	0.2322190930	0.2298329880	-0.219586960	0.3937039060	0.4011163690	0.4938013590	-0.032321741	-0.144651483	0.3539201580	-0.117371789	0.1515165840	0.0557427140	-0.265540193	0.2584818370	0.1907679720	-0.011032330	0.2138818900	-0.081848726
YKL147C 	-0.701352658	0.4556242050					-0.105614051						-0.407970278	0.0846055170					-0.103191438	-0.036032330	0.0188104620	0.3985335480
YKL148C 	0.1281969900	0.1579099190	0.4219261610	0.4493049230	0.2322190930	0.2298329880	-0.219586960	0.3937039060	0.4011163690	0.4938013590	-0.032321741	-0.144651483	0.3539201580	-0.117371789	0.1515165840	0.0557427140	-0.265540193	0.2584818370	0.1907679720	-0.011032330	0.2138818900	-0.081848726
YKL149C 	-0.023285989	0.3078503950	0.0600183110	-0.220775491	0.2111544960	0.0459293190	0.1122329000	-0.111903453	-0.251940154	-0.337339185	0.0860805910	0.1864237040	-0.189157875	0.0023719000	-0.180270686	-0.152994806	0.5565892400	0.6321646460	-0.065646396	-0.077032330	0.0819104620	
YKL150W 	0.7211446520	-0.414920438		0.7044204220			0.8797466620						0.1497530120	0.7583441010				0.0912808740	0.2055241840	-0.022782330	0.0447390330	0.1079832190
YKL151C 	0.7211446520	-0.414920438		0.7044204220			0.8797466620						0.1497530120	0.7583441010				0.0912808740	0.2055241840	-0.022782330	0.0447390330	0.1079832190
YKL152C 	-0.287299182	0.2322670620	-0.628098672	-0.573381557	-0.202700629	-0.454743529	0.3488348870	0.0760089900	-0.029133787	0.8453080050	0.2259613290	0.4538852210	0.3005362340	-0.302036754	-0.501895689	-0.324888871	-0.454770319	-2.047989010	-0.764057862	-0.345032330	-0.382975252	-2.317307606
YKL153W 		0.1393384910	0.3706652660	0.5575910600	0.4239314290	0.4193815180		0.8644525709	0.4033383740	0.5040904160	0.6181359360	0.8174921720	0.0891257390		0.4087801070	0.5241351930	0.2257432440	-0.105200834	0.1381082470	-0.068782330	-0.034289538	0.3752305510
YKL154W 	0.4657876300	0.1991420620	-0.182492780	0.5429224600	-0.059854048	0.1019598070	0.4628077950	0.2027189020	-0.007943789	0.3501066280	0.0834498680	-0.013760102		0.4380658020	-0.116318011	-0.034099184	-0.332383551	0.0760796810	0.2422157030	0.1167176700	0.2684533190	1.1816114910
YKL155C 	0.4657876300	0.1991420620	-0.182492780	0.5429224600	-0.059854048	0.1019598070	0.4628077950	0.2027189020	-0.007943789	0.3501066280	0.0834498680	-0.013760102		0.4380658020	-0.116318011	-0.034099184	-0.332383551	0.0760796810	0.2422157030	0.1167176700	0.2684533190	1.1816114910
YKL156W 	-0.427240601	0.2898503950	0.4395244900	0.0090259990	0.4204684410	0.3197353770	0.6200615540	0.6659358160	0.1339817450	1.7237801090	0.6058735300	0.9967983670	-0.112514982	0.4409511920	0.1681170990	0.1119235330	-0.249462627		-0.189700511	-0.363782330	-0.166832395	-1.025633587
YKL157W 	0.8827264970	-0.205982938	0.6133751830	0.7047403480	0.2364724440	0.5612441030	0.7946276540	-0.028479194	0.5222049270	0.1835733710	0.5345685730	-0.070417303	0.2421841590	1.0165865140	0.4853913850	0.5264104220	0.4952439350	0.1773305020	0.1695084730	0.2277176700	0.2624533190	1.3753027950
YKL158W 			0.8869296690		0.9104172480	0.9427069420		0.8564734510	0.6113052250	0.9227759600	1.0945205149	1.0844595109			0.7657638950	0.8610856270	0.6839440170					
YKL159C 	0.8827264970	-0.205982938	0.8869296690	0.7047403480	0.9104172480	0.9427069420	0.7946276540	0.8564734510	0.6113052250	0.9227759600	1.0945205149	1.0844595109	0.2421841590	1.0165865140	0.7657638950	0.8610856270	0.6839440170	0.1773305020	0.1695084730	0.2277176700	0.2624533190	1.3753027950
YKL160W 	0.6374683400	0.3237670620					0.1901384320							0.2750412630					0.2038153810	-0.026532330	0.0563104620	
YKL161C 	0.6417964250	0.5098295620		-0.260424289			0.5190729010							0.6746677890				0.3166460170	0.1383360410	0.0624676700	0.0343104620	-0.586548274
YKL162C 	0.1354104650	0.2539337290					-0.574489940						-0.006294714	-0.485259024				0.3346929740	0.1631433080	0.3197176700	-0.088260967	0.4015929440
YKL162C-A 	-0.655186417	-0.555090081		-0.579311911			-0.583146110						0.8104595330	-0.352531080				-0.139213213	0.4187083780	0.2372176700	0.2610247480	0.5288482750
YKL163W 	0.2392845080	-0.283149605	-0.192106908	-0.415008365	-0.452585872	-0.220119031	0.2276485030	-0.004697987	-0.116555698	-0.010086718	-0.237277258	0.0694400170	0.2731424910	-0.387155761	-0.067866922	-0.346614019	-0.091126846	0.1642203270	0.2062917350	-0.023782330	0.0395961760	-0.452936142
YKL164C 	-0.027614074	-0.572232938		-0.276830767			0.1252171550						0.2656065720	0.0254550210				-0.320292176	-0.126413210	-0.461532330	-0.290546681	-0.685392023
YKL165C 	0.0387498980	-0.247670438	0.0879368830	0.0463914050	0.0610130200	0.0002093940	0.2060080780	-0.087423002	-0.095204238	0.0670146400	0.4698589600	0.1647081540	-0.559333997	-0.045237036	-0.176922821	-0.088347124	-0.050824918		-0.382107814	-0.084532330	-0.226832395	-0.025969422
YKL166C 	0.2825653600	0.3729099190	-0.510940781	-0.349438189	-0.583797944	-0.320144722	-0.264310506	-0.568732210	-0.219845969	-0.414265416	-0.607606700	-0.489745567	-0.125428706	-0.270297463	-0.216129732	0.1001269270	-0.150110322		0.0662682780	0.0464676700	0.0373104620	
YKL167C 	-0.083879181	0.1445170620		0.2658148590			0.2767001350						-0.220150930	0.5087578590				-0.214550853	-0.081174313	0.1172176700	0.0314533190	0.6687561220
YKL168C 	0.2854507500	0.0610795620	-0.046055681	-0.254418400	-0.060556485	0.0514044580	0.1858103470	0.0973221020	0.0259720380	-0.029941294	0.0906156050	-0.376674953	-0.151123158	0.2043492060	0.1033120730	-0.327884320	0.1931167710		0.1161906640	0.1782176700	0.0670247480	
YKL169C 	-0.219492515	0.8182670620		0.1505676780			-0.173420718						-0.190744518	-0.088517888					0.1628516330	0.2327176700	0.1758818900	-1.083763545
YKL170W 	0.0329791170	0.2513920620	0.3693289560	0.2296586250	0.4014344670	0.1951743870	-0.058005115	0.4392357420	-0.015309895	0.2345412060	0.1148635300	0.1659565620	-0.260596293	-0.095731363	0.0581550870	-0.086292550	0.0992247790	0.1309238560	0.0437065130	0.0002176700	0.0195104620	0.9030656460
YKL171W 	0.2061025220	0.1319099190	-0.843474201	0.0658729570	-0.598972725	-0.568823426	-0.551406819	-0.114392086	-0.603736889	-1.019851569	-0.854530224	-0.996722252	-0.039352386	-0.114486398	-0.647608279	-0.720235507	-0.654093737	0.0769320750	0.1092966550	-0.117282330	-0.019975252	0.7234412310
YKL172W 	-0.330580033	0.3763920620	-0.169921952	0.3773145080	-0.632038714	-0.375035331	-0.360971074	-0.286100082	-0.726453749	-0.466075448	-0.684963059	-0.705693250	-0.077954753	0.0528662260	-0.364159207	-0.290966183	-0.710352698		-0.130162484	-0.010532330	-0.050689538	
YKL173W 	0.2061025220	0.2151003950	0.7038009150	0.5737305270	0.3073409250	0.6029736380	0.1555137510	0.2121311310	0.7312098130	0.4464675510	0.8590999459	0.4777529790		0.1769380000	0.6441272720	0.3062098250	0.3548315400	0.3923770500	0.2379481110	0.2409676700	0.1747390330	0.6873979099
YKL174C 	0.2061025220	0.2151003950	0.7038009150	0.5737305270	0.3073409250	0.6029736380	0.1555137510	0.2121311310	0.7312098130	0.4464675510	0.8590999459	0.4777529790		0.1769380000	0.6441272720	0.3062098250	0.3548315400	0.3923770500	0.2379481110	0.2409676700	0.1747390330	0.6873979099
YKL175W 	0.5653335880	-0.559295438	0.4281662500	0.7025855130	0.1912098610	0.1526384000	0.5147448160	0.3684472570	0.4440811620	0.4572577350	0.3826663850	0.2205481110	0.1705130170	0.5130859440	0.3818044660	0.0419670270	-0.011654605	0.0586961610	0.3517530180	0.0964676700	0.0217390330	0.7343418740
YKL176C 	0.5653335880	-0.559295438	0.4281662500	0.7025855130	0.1912098610	0.1526384000	0.5147448160	0.3684472570	0.4440811620	0.4572577350	0.3826663850	0.2205481110	0.1705130170	0.5130859440	0.3818044660	0.0419670270	-0.011654605	0.0586961610	0.3517530180	0.0964676700	0.0217390330	0.7343418740
YKL177W 	-0.216607125		-0.566177458	-0.205439002	-0.112600886	0.1095586250	-0.270081286	-0.273106424	-0.273013064	-0.595935083	0.0061642290	-0.096915126	-0.008303613	-0.475160159	-0.733586137	-0.539107235	-0.376383311	-0.008887313	0.2211513670	0.2079676700	0.2441104620	0.7477930770
YKL178C 	-0.428683296	0.2928295620		0.0125687640			0.1309879350							-0.149111079				0.1773898360	0.2944187600	-0.108532330	-0.108689538	-0.399951877
YKL179C 	-0.216607125		-0.566177458	-0.205439002	-0.112600886	0.1095586250	-0.270081286	-0.273106424	-0.273013064	-0.595935083	0.0061642290	-0.096915126	-0.008303613	-0.475160159	-0.733586137	-0.539107235	-0.376383311	-0.008887313	0.2211513670	0.2079676700	0.2441104620	0.7477930770
YKL180W 	-0.955266986	0.3720795620		-0.079969779			0.0083588570						-0.734651174	-0.740616046				-0.609371776	-0.478209986	-0.361532330	-0.313118110	
YKL181W 	0.0243229470	0.5383920620		0.5504230770			0.4700212700						0.0863480970	0.2505154470				0.0459596430	-0.068947818	-0.003782330	-0.247832395	-0.506361696
YKL182W 	-0.203622869	-0.071316271					-0.086859016							-0.796881153				-1.438397106	-0.649000739	-0.270698996	-0.186189538	-2.851184296
YKL183W 	-0.218049820	0.3899337290		-0.067592313			-0.014724264						-0.028209973	-0.202490796				0.2994690680	0.0588551770	-0.030282330	-0.032260967	-0.723422233
YKL184W 	-0.282971096	0.2683920620		0.2550262260			0.4065426880						0.0897917500	-0.277510938				-0.048178607	-0.161396154	-0.095532330	-0.076289538	-0.166997441
YKL185W 	-0.016072514	-0.271732938					0.0934778640							-0.117371789				-0.369833224	-0.016882604	-0.348532330	-0.254260967	-0.138708738
YKL186C 	-0.016072514	-0.271732938					0.0934778640							-0.117371789				-0.369833224	-0.016882604	-0.348532330	-0.254260967	-0.138708738
YKL187C 	-0.415699040	-0.386875795		-0.299800392			-0.561505684						0.0750943140	-0.576148812				0.2627312320	0.3179160830	0.1782176700	0.1834533190	0.2484942140
