Accession	H3K4	H3K36	H2AK7	H2AZK14	H2BK11	H2BK16	H3Nterm	H3K9	H3K14	H3K18	H3K23	H3K27	H3K56	H4Nterm	H4K8	H4K12	H4K16	H2A	H2B	H3	H4	H2AZ
YAL062W 	0.4975269210	-0.234932938					0.5306144620							0.7958541720					0.1385416450	0.0094676700	-0.107689538	
YAL063C 	-1.626120180	-0.263132938		-1.292709194			-0.750498735						-0.059927181	-0.352531080				-0.290659560	0.1042267920	0.1459676700	0.0385961760	-0.555761418
YAL064C-A 		-0.702032938		-0.199265291									-0.670662973					0.3698950210		0.4124676700	0.2005961760	-0.107462822
YAL064W 		-0.749357937		-1.179049513									-0.579796424					-0.228821711		0.0044676700	-0.006260967	-0.314093377
YAL064W-B 		0.5613503949		0.9395298460														0.3390342720		0.3694676700	0.2753104620	-0.809149962
YAL065C 		0.5613503949		0.9395298460														0.3390342720		0.3694676700	0.2753104620	-0.809149962
YAL066W 		-0.423447224		0.4387171700									-0.278109730					0.7492221950		0.2944676700	0.0934533190	0.6917164960
YAL067C 		-0.423447224		0.4387171700									-0.278109730					0.7492221950		0.2944676700	0.0934533190	0.6917164960
YAL068C 		-0.697447224		-1.617306152														0.3024683190		0.5069676700	0.2131676050	-1.132624834
YAR002C-A 	0.4340483390	0.1078384910	0.9264121800	0.4879388230	0.6318687920	0.8511277640	0.4685785750	0.2334147120	0.4735473400	0.5381837380	0.9549844790	0.4757661290	0.2185923550	0.5376117600	0.6451098780	0.4838037430	0.4040281010	0.5953603940	-0.111335058	0.0169676700	-0.046546681	1.2766777499
YAR002W 		-0.140732938	0.1519378650	0.2036251400	0.3615796310	0.2835463130		0.5298301570	0.7460598620	0.7348182970	0.6358742530	0.7579582520	0.3480764750		0.6745269630	0.8861764800	0.7801930969	-0.005991198	-0.070083686			-0.127789792
YAR003W 	0.4340483390	0.1078384910	0.9264121800	0.4879388230	0.6318687920	0.8511277640	0.4685785750	0.2334147120	0.4735473400	0.5381837380	0.9549844790	0.4757661290	0.2185923550	0.5376117600	0.6451098780	0.4838037430	0.4040281010	0.5953603940	-0.111335058	0.0169676700	-0.046546681	1.2766777499
YAR007C 	0.3590281970	-0.289982938					-0.086859016						0.1253939870	0.1754953050				-0.018777904	0.1230486480	-0.028032330	-0.001832395	1.1868960159
YAR008W 	0.3590281970	-0.289982938					-0.086859016						0.1253939870	0.1754953050				-0.018777904	0.1230486480	-0.028032330	-0.001832395	1.1868960159
YAR009C 	-0.336350813			0.2563849230			-0.288836321						0.2846623230	0.0355538860				0.1551325140	0.2236596950	0.0969676700	0.0843104620	-2.171615947
YAR010C 		-0.321732938																	-0.399127237	-0.363032330	-0.522546681	-1.103021668
YAR014C 	0.5711043680	-0.161632938		-0.139853578			0.0126869420							0.5722364410				0.1158708760	0.1002464870	0.0809676700	0.0313104620	1.2704126380
YAR015W 	0.5711043680	-0.161632938		-0.139853578			0.0126869420							0.5722364410				0.1158708760	0.1002464870	0.0809676700	0.0313104620	1.2704126380
YAR018C 	0.2003317420	0.0438670620		-0.425433774			-0.187847669							0.1350998440					-0.037380856	0.0694676700	0.0223104620	
YAR019C 	0.4556887640	0.0389670620		0.2087102650			0.5104167310							0.5044297740				0.4560715850	0.3825799120	0.2694676700	0.2911676050	1.3278143179
YAR020C 	-0.924970390	0.8124813480		-0.298740269			-0.200831924							-0.320791789				0.5118569160	0.3660252560	0.4419676700	0.3191676050	-0.905552194
YAR023C 	0.4758864950	-0.501375795		0.2697235720			0.6142907740						0.0991341750	0.6227307670				0.1179817330	0.1071640420	-0.100532330	0.0621676050	0.1338342380
YAR027W 		-0.115857938	0.6439233280	0.7115600470	0.5920536290	1.0957239710		0.3434560420	0.7391263680	0.3011812110	0.3779112560	0.6058642340	-1.197117264		0.4520561430	0.8449540400	0.5049766890	0.1098933340	0.3238269040	0.0094676700	0.0434533190	0.3229402610
YAR028W 	0.5364796870	-0.057232938		0.3217043170			-0.042135469							0.2995670780				0.4563679350	0.0553305640	0.1719676700	0.0117390330	0.6987026060
YAR029W 	-0.427240601	0.1261420620	-0.543808564	-1.165378136	-0.803189881	-1.000942360	-0.730301004	-1.039923818	-1.414056028	-1.493257403	-1.245503328	-0.645853853	-0.200083428	-0.509784840	-0.684557583	-0.742959538	-0.136162330	0.2340439990	0.1809595390	0.3919676700	0.0343104620	-0.011917259
YAR030C 	0.4874280550	0.1539545620	0.3666116850	0.5001111650	0.4508522490	0.5410653840	0.1555137510	0.2535426870	0.3425766380	-0.513504869	0.2009775550	0.3982836860	0.7595701400	0.3976703410	0.7233983970	1.0018814100	0.4230342250	0.2592833710	0.0937762840	0.2069676700	0.1505961760	0.6975989650
YAR033W 	0.4874280550	0.1539545620	0.3666116850	0.5001111650	0.4508522490	0.5410653840	0.1555137510	0.2535426870	0.3425766380	-0.513504869	0.2009775550	0.3982836860	0.7595701400	0.3976703410	0.7233983970	1.0018814100	0.4230342250	0.2592833710	0.0937762840	0.2069676700	0.1505961760	0.6975989650
YAR035W 		-0.621732938		-1.464279194									0.7046005570					-0.711635700	0.0802612090	-0.330532330	-0.183975252	-0.952518621
YAR042W 	-0.363762019	-0.236732938		-0.032910435			-0.342216038						-0.027374789	-0.294823279				0.1266999900	0.0209690970	0.1594676700	-0.020975252	0.2640596720
YAR044W 	-0.604692091	0.7202670620	-0.965819567	-0.379602244	-0.972884969	-1.357021191	-0.782238024	-0.292444193	-1.867678086	-2.117140757	-1.786746368	-1.591554619	0.2298146880	-0.840162004	-0.757719836	-0.791978821	-0.114787801		0.2138275830	0.1419676700	0.0981676050	-2.383553969
YAR047C 	-0.395501310	0.5424337290					-0.435991216							-0.257313207				0.3566446670		0.3394676700	0.1353104620	
YAR050W 	-1.336138475	0.8412670620					-0.284508236							0.0730639570				0.1632133200	0.0398456360	0.2619676700	0.1764533190	-1.598372114
YAR053W 	0.2493833740	0.2433295620	0.5340062510	-0.039615110	0.2398012790	0.6693910150	0.4296258090	0.1455029500	0.1221928110	0.2172459260	0.3158541800	0.8164376940	0.1957887150	0.4957736040	0.2271597270	0.2841820410	0.3578180000		-0.116387186	0.1844676700	0.0260247480	0.1712038330
YAR060C 	-1.512147270	0.2432045620					-0.270081286						-1.044391679	0.2029065110				0.3623483650	0.1906159860	0.2619676700	0.1513104620	-0.264900227
YAR061W 	-1.512147270	0.2432045620					-0.270081286						-1.044391679	0.2029065110				0.3623483650	0.1906159860	0.2619676700	0.1513104620	-0.264900227
YAR062W 	-1.437127129	0.7429099190					-0.248440860						-0.376476606	-0.633856613				0.2810313610	0.0625739980	0.5637176699	0.3521676050	-1.505968636
YAR064W 	-1.060583722	0.4148384910	-0.466195432	-0.055723691	-0.718773196	-0.441959503	-0.140238732	-0.058772192	-0.223882892	-0.740543772	-0.392487465	0.1289482720	-0.301857298	-0.302036754	0.1578800330	0.1658262270	0.4661630010	0.2894522100	0.2576622130	0.3044676700	0.2594533190	-0.441264582
YAR066W 	-0.823981737	0.4123384910	-0.378628293		-0.794152367	-1.031965816	-0.392710364	-0.583130516	-1.231976200	-1.221537118	-1.316168025	-0.087215293	0.4063227550	-0.567492641	-0.279493827	-0.440370012	-0.038838115	0.1243403590	0.1384994030	0.2294676700	0.2818818900	-0.032646196
YAR068W 	-0.450323721	0.9014337290	0.2270379380	0.6269156730	0.2886096570	-0.177677756	-0.570161854	0.5129119820	-0.080275152	-0.777881352	-0.159017800	-0.091081300	0.1539988200	-0.643955478	0.4430213080	0.4613963550	0.8796403830	0.1612823730	0.3584675060	0.4744676700	0.4578818900	-1.558527878
YAR069C 	-0.728763864	-0.607066271	0.6656656300		0.5243926800	0.4716262420	-0.094072491	0.8624449650	0.5963482650	0.4212984560	0.2144596570	1.3015716079	0.3582584930	-0.382827676	0.7834051150	1.1827244520	0.9675968890	0.0838016570	0.3292500080	0.3044676700	0.2738818900	0.2175726740
YAR070C 	0.1830194020	-0.506732938		0.4718704880			0.1901384320						-0.100606610	-0.076976327				0.3388782130	-0.096741161	-0.028032330	0.0963104620	0.9776934190
YAR071W 	0.1830194020	-0.506732938		0.4718704880			0.1901384320						-0.100606610	-0.076976327				0.3388782130	-0.096741161	-0.028032330	0.0963104620	0.9776934190
YAR073W 	-1.109635355	0.3802670620					-0.919294054						-0.194179283	-1.461963567				0.2569460220	-0.425838637	-0.003032330	0.0223104620	-0.121870854
YAR075W 	-1.109635355	0.3802670620					-0.919294054						-0.194179283	-1.461963567				0.2569460220	-0.425838637	-0.003032330	0.0223104620	-0.121870854
YBL001C 	-0.174768968	-0.596232938	0.1256983870	0.0141251760	0.2395335700	-0.086542936	0.6344885050	0.2559408950	0.2381625380	0.5357653999	0.1601442310	0.7786931070		0.3486187100	-0.047836463	0.1775943080	0.0199320970	-0.013262107	0.1329899060	-0.273032330	-0.114403824	-0.413620313
YBL002W 	0.2969923100	-0.088045438		-0.439036710			0.5710099230							0.1769380000				-0.962734018		-0.260532330	-0.527403824	-1.926348409
YBL003C 	0.2969923100	-0.088045438		-0.439036710			0.5710099230							0.1769380000				-0.962734018		-0.260532330	-0.527403824	-1.926348409
YBL004W 		-0.556045437		-0.354803469									0.1092095630					-0.321103155	-0.209799471			1.0685637310
YBL005W 	-0.024728684	-0.604161509		0.5494308740			0.3113248160						0.9563932590	0.3918995610				-0.387100812	0.0534819280	0.0469676700	0.1461676050	
YBL005W-A 													-0.031303199									
YBL006C 	-0.024728684	-0.604161509		0.5494308740			0.3113248160						0.9563932590	0.3918995610				-0.387100812	0.0534819280	0.0469676700	0.1461676050	
YBL007C 	0.0661611030	-0.520447224	0.2995059940	0.6782977270	0.4418153840	0.1728615680	0.3142102060	0.4106911500	0.4852913070	0.6060291700	0.0407463250	0.2139259620	0.3044248340	0.5231848099	0.7988810860	0.4105464930	-0.011820991	-0.005356148	0.1167240720	0.0969676700	0.0575961760	0.1364858160
YBL008W 	0.3229608210	-0.089295438		0.4528017070			0.1987946020						0.2386919650	0.3702591350				0.4556311320	0.1523910140	0.2019676700	0.1528818900	0.8427560440
YBL009W 	0.0358645080	-0.216090081	0.0829407270		0.1419269650	0.3077975940	-0.474943982	0.0077291420	0.1019703820	0.0696157890	-0.106957644	-0.013541018	0.2375291790	-0.185178455	0.0638817110	-0.094957359	0.1227240600		-0.045667128	0.0294676700	-0.040975252	0.9923306119
YBL010C 	0.0358645080	-0.216090081	0.0829407270		0.1419269650	0.3077975940	-0.474943982	0.0077291420	0.1019703820	0.0696157890	-0.106957644	-0.013541018	0.2375291790	-0.185178455	0.0638817110	-0.094957359	0.1227240600		-0.045667128	0.0294676700	-0.040975252	0.9923306119
YBL011W 	-0.433011381	-0.653107938		-0.504772521			-0.407137315						0.6374295370	-0.812750798				-0.304783005	-0.387474442	-0.260532330	-0.323118110	-0.337801261
YBL013W 	0.1974463520	-0.184875795		-0.386585934			-0.500912492						0.4776722840	-0.358301860				-0.166856264	0.1205495130	-0.108032330	-0.086403824	1.7414369770
YBL014C 	0.1974463520	-0.184875795		-0.386585934			-0.500912492						0.4776722840	-0.358301860				-0.166856264	0.1205495130	-0.108032330	-0.086403824	1.7414369770
YBL015W 	0.3301742960	-0.189920438	-0.800980175	-0.835741481	-0.633970790	-0.736122207	-0.531209088	-0.731112997	-0.459979142	-1.208181911	-0.826025632	-0.935285816		-0.329447960	-0.108299339	-0.565551684	-0.205334345	-0.041811799	-0.379385768	-0.115532330	-0.256546681	0.4559251590
YBL016W 	0.4051944380	-0.272590081		0.3524185820			0.6604570150							0.6530273630				0.1181232870	-0.045580459	-0.193032330	-0.179975252	0.0304124920
YBL017C 	0.4051944380	-0.272590081		0.3524185820			0.6604570150							0.6530273630				0.1181232870	-0.045580459	-0.193032330	-0.179975252	0.0304124920
YBL018C 	-0.207950954	0.1044545620	-0.600799984	-0.091974220	-0.548270810	-0.767579769	-0.231128520	-0.118306166	-0.819414294	-1.252594999	-0.847050269	-0.724154342	-0.363387694	-0.136126824	-0.244333012	-0.391704425	-0.474885832	-0.079805196	-0.303239654	0.0687176700	0.1510247480	0.4619699950
YBL019W 	0.2234148630	0.4973503950	0.4521121450		0.4673582020	0.4575737710	0.3127675110	0.0108703170	0.3007380320	0.1149284370	-0.006829132	0.0457457470	-0.122258422	0.1552975740	0.2845190310	0.2850742940	0.5699613200		0.0462070740	0.1719676700	0.1658818900	-0.640173820
YBL020W 	0.2190867780	-0.408107938	0.8649174360	0.8916666559	0.9622307540	0.7207142120	0.2752574400	0.8717338280	0.8441895680	0.6407341350	0.4307774950	0.6311984970	0.6682142730	0.2461873620	0.9000489189	0.6840680280	0.3573925730		0.1716337040	0.2419676700	0.1487390330	
YBL021C 	0.2190867780	-0.408107938	0.8649174360	0.8916666559	0.9622307540	0.7207142120	0.2752574400	0.8717338280	0.8441895680	0.6407341350	0.4307774950	0.6311984970	0.6682142730	0.2461873620	0.9000489189	0.6840680280	0.3573925730		0.1716337040	0.2419676700	0.1487390330	
YBL022C 	0.2263002530	-0.090232938	0.7485059720	0.9285953090	0.3327285840	0.4983394980	0.5811087880	0.1996732130	0.3584609230	0.4876311510	0.2120497880	0.1669321620	0.4926888720	0.6587981429	0.2924947230	0.1590618780	0.1994735910	0.1836110050	0.2170771270	0.1394676700	0.1991676050	0.2987042040
YBL023C 	-0.489276487	0.3339813480					-0.411465400						-0.991606091	-0.377056896				0.5242792370	-0.121142558	0.1162176700	-0.035689538	-0.055043195
YBL024W 	1.0414229509	0.5290527760	0.3731900430	0.3376725860	0.0034206770	-0.097353466	0.4700212700	-0.121753258	0.2804542820	-0.018150779	-0.040846952	0.1993516400	0.1882288210	0.7092924700	0.4008697710	0.4655886810	0.1235138440	0.3427295810	0.2638339000	0.2069676700	0.1255961760	-0.177716361
YBL025W 	0.6345829500	-0.097375795	0.3163775190		0.3729179880	0.3057626900	0.6979670860	0.1033576870	0.1922366290	0.3275147900	0.1483179040	0.1675842350	-0.297495204	0.6515846680	0.3538383450	0.3274981710	0.0780205910	0.1546735470	-0.009954863	0.1294676700	-0.043832395	
YBL026W 	0.5162819560	-0.166107938		0.6319486380			0.9850634000						0.3607169500	0.6039757320					0.1837629210	-0.068032330	-0.083403824	0.0860732260
YBL027W 	-0.525343863	-0.436982938	0.1003699210	-0.683797823	0.0269539690	-0.116873411	0.5003178660	0.4201413000	-0.048131949	1.1412316110	0.1652293840	0.5039561550	0.3102291110	-0.069762852	-0.320950539	-0.289494225	-0.063915697	-2.110901479	-0.946026144	-0.578032330	-0.811403824	-3.496604497
YBL028C 	-0.525343863	-0.436982938	0.1003699210	-0.683797823	0.0269539690	-0.116873411	0.5003178660	0.4201413000	-0.048131949	1.1412316110	0.1652293840	0.5039561550	0.3102291110	-0.069762852	-0.320950539	-0.289494225	-0.063915697	-2.110901479	-0.946026144	-0.578032330	-0.811403824	-3.496604497
